IPA_for_PHOIBLE	Glottolog_code	Glottolog_nearest	Variety_name	Source	Source_ref	Comments
ɳ	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
ȵ	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
ŋ	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
m	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
l	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
ɭ	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
ȴ	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
r	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
ɻ	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
j	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
w	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
i	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
u	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
a	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
e	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
ʉ	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
t̺	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
ȶ	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
k	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
p	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
n̺	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
ȵ	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
ŋ	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
m	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
l̺	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
ȴ	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
r̺	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
ɹ̺	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
j	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
w	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
i	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
u	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
a	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
e	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
ə	mull1237		Malak-Malak	Birk 1975	http://glottolog.org/resource/reference/id/161795	Please see also the general comparative notes on Australian inventories.
t͉	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
t͈	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
ʈ͉	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
ʈ͈	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
t̪͉	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
t̪͈	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
ȶ͉	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
ȶ͈	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
k͉	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
k͈	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
p͉	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
p͈	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
n	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
ɳ	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
n̪	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
ȵ	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
ŋ	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
m	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
l	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
ɭ	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
r	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
ɻ	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
j	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
w	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
i	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
u	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
a	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
e	murr1258		Murrinh-patha	Mansfield 2014	http://glottolog.org/resource/reference/id/413034	Please see also the general comparative notes on Australian inventories.
t̺͉	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
t̺͈	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
ȶ͈	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
k͈	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
p͉	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
p͈	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
n̺	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
ȵ	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
ŋ	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
m	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
l̺	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
r̺	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
ɹ̺	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
j	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
w	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
i	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
u	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
a	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
e	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
z̺	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
ɕ	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
x	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
ɸ	nang1259		Ngan'gityemerri	Reid 1990	http://glottolog.org/resource/reference/id/25578	Please see also the general comparative notes on Australian inventories.
t	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
ʈ	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
ȶ	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
k	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
p	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
n	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
ɳ	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
ȵ	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
ŋ	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
m	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
l	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
ɭ	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
ȴ	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
r	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
ɻ	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
j	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
w	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
i	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
u	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
a	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
e	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
ø	wadj1254		Patjtjamalh	Ford 1990	http://glottolog.org/resource/reference/id/119805	Please see also the general comparative notes on Australian inventories.
t	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ʈ	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ȶ	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
k	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
p	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
n	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ɳ	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ȵ	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ŋ	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
m	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
l	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ɭ	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
r	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
ɻ	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
j	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
w	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
i	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
u	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
a	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
e	mari1417		Marramaninyshi	Tryon 1974	http://glottolog.org/resource/reference/id/2833	Please see also the general comparative notes on Australian inventories. This inventory is tentative.
t͉	mari1419		Marringarr	Nambatu&alia 2009	http://glottolog.org/resource/reference/id/61434	Please see also the general comparative notes on Australian inventories.
t͈	mari1419		Marringarr	Nambatu&alia 2009	http://glottolog.org/resource/reference/id/61434	Please see also the general comparative notes on Australian inventories.
ʈ͉	mari1419		Marringarr	Nambatu&alia 2009	http://glottolog.org/resource/reference/id/61434	Please see also the general comparative notes on Australian inventories.
ʈ͈	mari1419		Marringarr	Nambatu&alia 2009	http://glottolog.org/resource/reference/id/61434	Please see also the general comparative notes on Australian inventories.
t̪͈	mari1419		Marringarr	Nambatu&alia 2009	http://glottolog.org/resource/reference/id/61434	Please see also the general comparative notes on Australian inventories.
ȶ͉	mari1419		Marringarr	Nambatu&alia 2009	http://glottolog.org/resource/reference/id/61434	Please see also the general comparative notes on Australian inventories.
